Date,y1,y2,y3,y4,y5,y6,sum
16/07/2011,12,14,33,40,42,51,192
17/07/2011,5,7,16,24,25,41,118
20/07/2011,1,29,30,32,46,57,195
23/07/2011,15,20,21,38,42,55,191
24/07/2011,11,17,23,41,42,46,180
27/07/2011,17,26,36,37,43,53,212
30/07/2011,10,15,34,37,40,46,182
31/07/2011,12,18,27,34,41,49,181
3/8/2011,18,20,49,52,53,57,249
6/8/2011,7,22,34,45,49,57,214
7/8/2011,3,25,31,32,41,42,174
10/8/2011,3,16,24,29,53,55,180
13/08/2011,2,3,4,6,13,35,63
14/08/2011,3,4,11,17,27,44,106
17/08/2011,18,23,30,32,45,53,201
20/08/2011,2,23,31,32,44,55,187
21/08/2011,4,10,20,30,43,46,153
24/08/2011,8,27,28,29,40,48,180
27/08/2011,2,3,14,21,25,45,110
28/08/2011,8,15,22,28,36,55,164
31/08/2011,9,14,18,37,49,52,179
3/9/2011,23,29,31,35,37,46,201
4/9/2011,7,16,40,41,50,53,207
6/9/2011,14,23,34,43,53,55,222
7/9/2011,28,37,43,48,51,56,263
10/9/2011,7,8,12,14,40,43,124
11/9/2011,21,34,38,42,45,46,226
14/09/2011,34,40,50,53,55,58,290
17/09/2011,10,14,23,30,36,48,161
18/09/2011,7,17,28,30,36,44,162
21/09/2011,9,18,21,39,50,58,195
24/09/2011,8,29,37,40,42,53,209
25/09/2011,6,7,13,42,46,54,168
27/09/2011,27,33,34,45,47,56,242
28/09/2011,11,29,39,44,56,57,236
1/10/2011,2,13,17,27,33,53,145
2/10/2011,3,21,30,31,39,55,179
4/10/2011,27,35,36,37,38,49,222
5/10/2011,4,12,13,27,33,58,147
8/10/2011,1,2,6,8,28,58,103
9/10/2011,15,30,33,36,38,41,193
12/10/2011,7,33,35,36,43,49,203
15/10/2011,5,10,12,22,25,37,111
16/10/2011,5,8,24,33,44,47,161
19/10/2011,5,9,11,34,43,44,146
22/10/2011,16,17,19,21,38,57,168
23/10/2011,11,14,16,23,49,58,171
25/10/2011,21,26,36,41,44,45,213
26/10/2011,12,21,23,27,29,44,156
29/10/2011,9,13,19,26,35,40,142
30/10/2011,1,3,17,31,35,39,126
1/11/2011,12,17,28,42,50,57,206
2/11/2011,5,25,28,36,39,42,175
5/11/2011,13,26,34,38,39,44,194
6/11/2011,12,15,21,28,42,58,176
9/11/2011,11,18,19,24,56,58,186
12/11/2011,20,27,35,36,43,57,218
13/11/2011,2,7,13,20,39,48,129
16/11/2011,2,3,12,16,34,35,102
19/11/2011,17,36,39,40,41,44,217
20/11/2011,1,9,11,20,24,54,119
23/11/2011,11,15,22,37,38,42,165
26/11/2011,2,7,10,14,24,35,92
27/11/2011,2,20,25,26,29,53,155
29/11/2011,6,17,31,42,43,48,187
30/11/2011,5,23,26,29,31,58,172
3/12/2011,3,7,15,20,45,53,143
4/12/2011,4,24,27,31,49,57,192
6/12/2011,15,32,36,45,55,58,241
7/12/2011,3,28,43,46,56,57,233
10/12/2011,6,8,9,11,23,56,113
11/12/2011,6,16,20,21,39,52,154
14/12/2011,7,16,21,40,41,43,168
17/12/2011,5,13,26,34,49,51,178
18/12/2011,9,19,29,41,54,58,210
21/12/2011,5,13,38,47,50,51,204
24/12/2011,17,36,43,44,45,51,236
25/12/2011,4,5,21,47,51,52,180
27/12/2011,3,12,25,27,42,52,161
28/12/2011,6,8,22,25,30,57,148
31/12/2011,5,17,20,46,55,58,201
1/1/2012,7,15,16,19,24,51,132
4/1/2012,18,21,42,44,48,56,229
7/1/2012,4,29,39,41,43,52,208
8/1/2012,13,15,16,18,43,45,150
11/1/2012,5,9,13,17,35,41,120
14/01/2012,3,13,30,31,34,52,163
15/01/2012,2,7,10,17,23,29,88
17/01/2012,1,7,19,37,46,55,165
18/01/2012,2,12,24,25,32,33,128
21/01/2012,9,26,32,34,51,57,209
22/01/2012,7,25,26,35,43,50,186
24/01/2012,11,13,24,39,44,54,185
25/01/2012,4,12,36,38,46,50,186
28/01/2012,9,19,30,31,35,38,162
29/01/2012,3,12,30,32,36,47,160
31/01/2012,11,13,14,37,42,51,168
1/2/2012,7,38,39,48,57,58,247
4/2/2012,3,10,15,16,28,53,125
5/2/2012,8,17,24,49,54,57,209
8/2/2012,6,11,43,49,55,58,222
11/2/2012,7,21,24,25,52,57,186
12/2/2012,9,15,28,34,36,56,178
14/02/2012,10,17,38,39,50,58,212
15/02/2012,21,29,30,35,46,58,219
18/02/2012,1,11,19,20,43,58,152
19/02/2012,10,11,16,36,39,56,168
22/02/2012,8,17,23,25,28,42,143
25/02/2012,10,17,19,24,53,56,179
26/02/2012,18,19,37,42,51,53,220
28/02/2012,3,20,50,53,55,57,238
29/02/2012,11,21,22,51,53,54,212
3/3/2012,1,4,26,41,44,50,166
4/3/2012,3,9,20,29,41,58,160
7/3/2012,1,24,31,38,43,45,182
10/3/2012,1,26,35,37,47,58,204
11/3/2012,11,15,24,42,53,58,203
14/03/2012,9,15,22,31,40,49,166
17/03/2012,13,20,31,36,50,54,204
18/03/2012,4,16,21,26,31,50,148
20/03/2012,10,19,25,40,42,54,190
21/03/2012,5,19,31,50,54,57,216
24/03/2012,14,24,40,42,43,57,220
25/03/2012,9,18,22,28,38,39,154
28/03/2012,14,18,20,44,47,48,191
31/03/2012,14,18,30,33,47,52,194
1/4/2012,3,20,48,52,56,57,236
3/4/2012,10,12,24,27,36,38,147
4/4/2012,2,3,20,28,42,48,143
7/4/2012,7,17,25,38,48,50,185
8/4/2012,11,14,30,35,46,55,191
11/4/2012,3,9,22,25,34,35,128
14/04/2012,9,19,27,38,45,46,184
15/04/2012,16,18,46,51,54,57,242
17/04/2012,2,9,10,28,35,36,120
18/04/2012,6,9,17,18,26,47,123
21/04/2012,10,37,44,45,51,54,241
22/04/2012,3,8,19,20,33,40,123
25/04/2012,12,19,23,39,40,53,186
28/04/2012,8,11,15,20,33,34,121
29/04/2012,15,26,39,40,52,54,226
2/5/2012,4,26,36,41,45,52,204
5/5/2012,28,38,40,46,52,53,257
6/5/2012,5,7,16,23,26,39,116
8/5/2012,16,22,23,26,31,58,176
9/5/2012,17,32,41,42,44,58,234
12/5/2012,10,13,16,26,36,56,157
13/05/2012,4,7,10,38,50,57,166
16/05/2012,2,10,25,28,31,36,132
19/05/2012,14,21,30,31,48,51,195
20/05/2012,9,14,17,19,26,52,137
23/05/2012,8,11,20,49,57,58,203
26/05/2012,15,17,18,31,49,55,185
27/05/2012,4,20,45,49,50,58,226
29/05/2012,4,5,24,25,31,34,123
30/05/2012,7,9,33,36,40,56,181
2/6/2012,20,24,25,32,50,52,203
3/6/2012,10,19,21,34,42,45,171
6/6/2012,13,20,22,23,52,58,188
9/6/2012,30,41,45,46,47,58,267
10/6/2012,5,27,29,41,43,51,196
13/06/2012,3,23,25,48,51,57,207
16/06/2012,5,26,30,40,51,57,209
17/06/2012,7,12,18,30,41,44,152
20/06/2012,8,30,35,38,46,50,207
23/06/2012,2,19,21,30,41,42,155
24/06/2012,15,25,28,29,35,37,169
26/06/2012,13,16,19,30,32,56,166
27/06/2012,6,12,39,42,53,58,210
30/06/2012,2,7,12,25,29,33,108
1/7/2012,7,14,43,45,46,53,208
3/7/2012,17,23,37,39,44,46,206
4/7/2012,1,2,20,34,50,54,161
7/7/2012,11,12,24,25,36,53,161
8/7/2012,18,20,30,45,57,58,228
11/7/2012,9,11,18,20,21,50,129
14/07/2012,3,5,14,27,31,40,120
15/07/2012,2,6,14,32,34,50,138
17/07/2012,6,12,20,33,40,56,167
18/07/2012,3,4,14,21,31,54,127
21/07/2012,12,20,25,26,27,56,166
22/07/2012,15,28,46,49,53,57,248
25/07/2012,25,32,33,40,51,57,238
28/07/2012,2,27,46,49,50,57,231
29/07/2012,25,31,32,41,51,53,233
1/8/2012,4,5,28,38,43,56,174
4/8/2012,11,17,22,32,50,51,183
5/8/2012,1,10,14,27,41,47,140
8/8/2012,20,22,34,35,39,48,198
11/8/2012,4,9,11,13,44,46,127
12/8/2012,14,31,33,42,47,58,225
15/08/2012,9,26,32,33,35,36,171
18/08/2012,1,8,11,12,40,49,121
19/08/2012,5,13,17,19,32,52,138
22/08/2012,18,22,24,37,38,48,187
25/08/2012,2,15,17,31,37,41,143
26/08/2012,19,20,27,34,37,58,195
28/08/2012,19,20,30,31,35,38,173
29/08/2012,2,8,34,36,41,47,168
1/9/2012,7,12,14,20,21,29,103
2/9/2012,1,9,32,35,37,45,159
4/9/2012,3,14,20,28,30,43,138
5/9/2012,1,20,26,33,49,55,184
8/9/2012,12,22,42,44,48,51,219
9/9/2012,7,13,20,34,35,43,152
12/9/2012,7,9,11,13,46,57,143
15/09/2012,8,22,25,36,57,58,206
16/09/2012,2,8,21,32,34,53,150
18/09/2012,5,29,40,44,51,58,227
19/09/2012,4,10,20,21,52,55,162
22/09/2012,12,16,35,40,41,58,202
23/09/2012,22,32,38,39,45,57,233
26/09/2012,9,13,16,18,33,54,143
29/09/2012,2,13,19,30,50,51,165
30/09/2012,2,14,22,23,25,43,129
2/10/2012,3,9,11,12,47,57,139
3/10/2012,10,22,30,31,32,52,177
6/10/2012,1,5,11,13,16,53,99
7/10/2012,6,11,13,21,46,51,148
10/10/2012,7,16,26,37,38,49,173
13/10/2012,10,15,16,21,31,45,138
14/10/2012,2,16,34,39,49,56,196
17/10/2012,5,6,8,40,41,47,147
20/10/2012,6,20,48,50,51,56,231
21/10/2012,11,19,32,52,53,56,223
24/10/2012,16,19,20,21,39,58,173
27/10/2012,3,26,27,28,32,57,173
28/10/2012,4,26,33,36,40,42,181
30/10/2012,1,4,8,20,29,42,104
31/10/2012,3,4,23,46,49,53,178
3/11/2012,2,11,17,20,29,58,137
4/11/2012,29,42,43,45,49,51,259
7/11/2012,6,23,26,40,41,57,193
10/11/2012,8,10,16,20,49,57,160
11/11/2012,1,9,17,39,51,58,175
13/11/2012,6,20,28,29,31,42,156
14/11/2012,7,13,37,45,52,57,211
17/11/2012,1,9,14,26,41,52,143
18/11/2012,2,3,14,19,32,36,106
21/11/2012,3,25,39,40,55,56,218
24/11/2012,18,25,27,29,36,54,189
25/11/2012,21,30,52,53,56,57,269
27/11/2012,4,15,22,24,43,49,157
28/11/2012,8,14,41,45,48,51,207
1/12/2012,13,23,34,46,53,55,224
2/12/2012,4,15,23,32,47,58,179
4/12/2012,4,8,28,33,46,47,166
5/12/2012,1,7,10,36,44,46,144
8/12/2012,1,8,24,44,46,48,171
9/12/2012,3,5,6,18,22,39,93
12/12/2012,1,9,27,45,50,53,185
15/12/2012,5,6,15,35,39,40,140
16/12/2012,7,11,39,47,49,58,211
18/12/2012,6,10,12,48,49,57,182
19/12/2012,9,10,17,37,42,56,171
22/12/2012,13,14,21,27,34,44,153
23/12/2012,20,38,44,46,50,55,253
26/12/2012,7,33,36,40,46,50,212
29/12/2012,5,6,16,21,51,57,156
30/12/2012,11,20,30,31,33,48,173
2/1/2013,11,12,20,22,28,46,139
5/1/2013,13,24,29,32,38,46,182
6/1/2013,3,19,27,32,52,53,186
8/1/2013,4,10,13,15,37,51,130
9/1/2013,6,15,26,44,47,52,190
12/1/2013,1,9,27,40,48,58,183
13/01/2013,5,8,20,41,53,58,185
16/01/2013,3,20,22,26,27,33,131
19/01/2013,1,21,29,35,42,55,183
20/01/2013,3,9,20,38,40,58,168
